* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 4, 2023 8:51:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
5700.000000	82.674	14.9183
5800.000000	83.333	19.4471
5900.000000	84.066	23.3741
6000.000000	84.871	26.6855
6080.000000	85.568	28.8619
6150.000000	86.217	30.3809
6220.000000	86.902	31.4870
6300.000000	87.721	32.1556
6400.000000	88.780	31.9009
6500.000000	89.829	30.1385
6600.000000	90.781	26.5505
6700.000000	91.510	21.0640
6800.000000	91.881	14.4182
6900.000000	91.864	8.5236
7000.000000	91.695	5.0947
7100.000000	91.739	3.3647
7200.000000	92.044	0.9806
7300.000000	92.363	-3.1918
7400.000000	92.510	-8.7010
7500.000000	92.438	-14.6537
7620.000000	92.089	-21.4548
7750.000000	91.456	-27.7465
7880.000000	90.629	-32.5883
8000.000000	89.753	-35.6768
8120.000000	88.824	-37.5042
8250.000000	87.805	-38.2347
8380.000000	86.804	-37.8337
8500.000000	85.916	-36.5712
8620.000000	85.085	-34.5684
8750.000000	84.266	-31.7211
8850.000000	83.703	-29.1545
9000.000000	82.976	-24.8539
9120.000000	82.500	-21.1558
9250.000000	82.094	-17.0333
9380.000000	81.801	-12.9284
9500.000000	81.625	-9.2758
9620.000000	81.536	-5.8612
9750.000000	81.529	-2.5420
9880.000000	81.608	0.2654
10000.000000	81.753	2.2533
10150.000000	82.012	3.5137
10300.000000	82.258	2.8395
10440.000000	82.329	0.4177
10600.000000	82.085	-3.5076
10750.000000	81.507	-6.9461
10900.000000	80.633	-9.0634
11060.000000	79.470	-9.2878
11200.000000	78.347	-7.7240
11380.000000	76.877	-3.6094
11500.000000	75.935	0.2109
11720.000000	74.388	8.8452
11800.000000	73.903	12.3427
12060.000000	72.664	24.2669
12200.000000	72.212	30.7068
12410.000000	71.790	39.9375
12500.000000	71.692	43.6333
12650.000000	71.619	49.3249
12800.000000	71.633	54.3272
13150.000000	71.821	62.8960
13200.000000	71.847	63.7517
13400.000000	71.906	66.3174
13600.000000	71.842	67.7450
13800.000000	71.611	68.5090
14000.000000	71.197	69.2082
14300.000000	70.285	71.3484
14500.000000	69.565	74.0229
14750.000000	68.683	78.9074
15000.000000	68.011	84.9292
15250.000000	67.684	90.5694
15500.000000	67.567	94.2295
15750.000000	67.357	96.0208
16000.000000	66.933	97.3937
16250.000000	66.353	99.3499
16500.000000	65.719	102.1455
16750.000000	65.137	105.5765
17000.000000	64.693	109.0309
17250.000000	64.405	111.7239
17500.000000	64.231	112.9286
17750.000000	64.083	111.9855
18000.000000	63.817	108.5164
18250.000000	63.268	102.9097
18500.000000	62.305	96.4871
18750.000000	60.878	90.9775
19000.000000	59.011	87.7958
19250.000000	56.765	87.7171
19500.000000	54.232	90.6762
19750.000000	51.625	95.2922
