
Frequency	dB	Unweighted
13150.000000	72.072	-73.3399
13200.000000	72.120	-71.7177
13400.000000	72.319	-65.8807
13600.000000	72.500	-61.1178
13800.000000	72.618	-57.3920
14000.000000	72.629	-54.4912
14300.000000	72.399	-50.8855
14500.000000	72.084	-48.3827
14750.000000	71.556	-44.5351
15000.000000	70.974	-39.5855
15250.000000	70.460	-33.7379
15500.000000	70.085	-27.6160
15750.000000	69.835	-21.6311
16000.000000	69.703	-15.9280
16250.000000	69.687	-10.8279
16500.000000	69.752	-6.6685
16750.000000	69.853	-3.6079
17000.000000	69.966	-1.8423
17250.000000	70.051	-1.7611
17500.000000	70.017	-3.7434
17750.000000	69.725	-7.6524
18000.000000	69.044	-12.4154
18250.000000	67.922	-16.3714
18500.000000	66.417	-18.2976
18750.000000	64.647	-17.9760
19000.000000	62.722	-15.7673
19250.000000	60.710	-12.0697
19500.000000	58.683	-7.4232
19750.000000	56.817	-2.8779
