* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 3, 2023 4:38:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
3070.000000	83.167	2.3607
3110.000000	83.061	3.0933
3150.000000	82.968	3.8802
3200.000000	82.868	4.9298
3250.000000	82.788	6.0414
3300.000000	82.728	7.2037
3350.000000	82.687	8.4065
3400.000000	82.666	9.6395
3450.000000	82.664	10.8928
3500.000000	82.682	12.1586
3550.000000	82.720	13.4308
3600.000000	82.779	14.7025
3650.000000	82.859	15.9630
3700.000000	82.960	17.2005
3750.000000	83.084	18.4047
3820.000000	83.296	20.0146
3870.000000	83.475	21.0944
3950.000000	83.812	22.6616
4000.000000	84.056	23.5153
4060.000000	84.383	24.3795
4120.000000	84.748	25.0309
4180.000000	85.153	25.4201
4250.000000	85.674	25.4619
4310.000000	86.159	25.0604
4370.000000	86.672	24.1631
4440.000000	87.293	22.3566
4500.000000	87.823	20.0383
4550.000000	88.244	17.4934
4620.000000	88.766	12.9326
4680.000000	89.113	8.1182
4750.000000	89.356	1.6233
4820.000000	89.386	-5.4406
4870.000000	89.269	-10.5442
4940.000000	88.917	-17.3489
5000.000000	88.460	-22.5607
5080.000000	87.681	-28.3073
5150.000000	86.894	-32.1212
5220.000000	86.058	-34.8619
5300.000000	85.089	-36.8527
5380.000000	84.145	-37.8470
5450.000000	83.356	-38.0681
5520.000000	82.612	-37.8107
5600.000000	81.819	-37.0550
5700.000000	80.915	-35.5808
5800.000000	80.104	-33.6700
5900.000000	79.379	-31.4429
6000.000000	78.733	-28.9883
6080.000000	78.270	-26.9058
6150.000000	77.900	-25.0203
6220.000000	77.562	-23.0912
6300.000000	77.213	-20.8490
