* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 4, 2023 8:48:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
5300.000000	83.686	-5.9604
5380.000000	83.466	-7.7681
5450.000000	83.226	-9.3179
5520.000000	82.941	-10.7333
5600.000000	82.566	-12.0661
5700.000000	82.038	-13.1440
5800.000000	81.476	-13.4395
5900.000000	80.922	-12.9000
6000.000000	80.426	-11.5947
6080.000000	80.104	-10.1507
6150.000000	79.893	-8.7526
6220.000000	79.747	-7.3732
6300.000000	79.650	-5.9676
6400.000000	79.600	-4.5969
6500.000000	79.591	-3.6547
6600.000000	79.599	-3.0500
6700.000000	79.619	-2.7009
6800.000000	79.653	-2.5771
6900.000000	79.700	-2.6937
7000.000000	79.759	-3.0850
7100.000000	79.821	-3.7858
7200.000000	79.876	-4.8134
7300.000000	79.913	-6.1582
7400.000000	79.919	-7.7819
7500.000000	79.887	-9.6198
7620.000000	79.790	-11.9908
7750.000000	79.614	-14.6104
7880.000000	79.376	-17.1575
8000.000000	79.113	-19.3885
8120.000000	78.817	-21.4874
8250.000000	78.471	-23.6179
8380.000000	78.108	-25.6356
8500.000000	77.763	-27.4626
8620.000000	77.409	-29.3369
8750.000000	77.008	-31.5154
8850.000000	76.673	-33.3325
9000.000000	76.095	-36.2206
9120.000000	75.546	-38.4934
9250.000000	74.854	-40.6721
9380.000000	74.066	-42.3349
9500.000000	73.266	-43.2609
9620.000000	72.414	-43.5131
9750.000000	71.454	-42.9872
9880.000000	70.481	-41.6472
10000.000000	69.592	-39.7393
10150.000000	68.519	-36.5538
10300.000000	67.508	-32.6143
10440.000000	66.636	-28.3813
10600.000000	65.732	-23.0214
10750.000000	64.980	-17.6022
10900.000000	64.322	-11.8843
11060.000000	63.730	-5.5088
11200.000000	63.315	0.2607
11380.000000	62.955	7.7359
11500.000000	62.833	12.5242
11720.000000	62.801	20.4491
11800.000000	62.835	23.0435
12060.000000	63.090	30.4197
12200.000000	63.313	33.5810
12410.000000	63.713	36.9291
12500.000000	63.888	37.7841
12650.000000	64.156	38.4024
12800.000000	64.355	38.0670
13150.000000	64.382	34.7540
13200.000000	64.328	34.1627
13400.000000	63.974	31.9933
13600.000000	63.446	30.5459
13800.000000	62.822	30.0575
14000.000000	62.183	30.4393
14300.000000	61.326	32.0383
14500.000000	60.875	33.3034
14750.000000	60.462	34.5299
15000.000000	60.196	34.8591
15250.000000	60.042	33.7362
15500.000000	59.907	30.3851
15750.000000	59.605	24.5688
16000.000000	58.962	17.0639
16250.000000	57.846	9.6090
16500.000000	56.223	4.4157
16750.000000	54.205	2.6690
17000.000000	51.989	4.0125
17250.000000	49.733	7.5753
17500.000000	47.512	12.8143
17750.000000	45.348	19.5117
18000.000000	43.248	27.5658
18250.000000	41.224	36.8969
18500.000000	39.302	47.3596
18750.000000	37.517	58.6826
19000.000000	35.902	70.4654
19250.000000	34.478	82.1259
19500.000000	33.270	92.8549
19750.000000	32.333	101.4879
