
Frequency	dB	Unweighted
5380.000000	89.581	-17.3995
5450.000000	89.605	-17.9672
5520.000000	89.603	-18.5606
5600.000000	89.568	-19.2416
5700.000000	89.469	-20.0225
5800.000000	89.309	-20.5822
5900.000000	89.102	-20.7730
6000.000000	88.872	-20.5308
6080.000000	88.689	-20.0421
6150.000000	88.539	-19.4347
6220.000000	88.402	-18.6981
6300.000000	88.267	-17.7488
6400.000000	88.131	-16.4827
6500.000000	88.033	-15.2165
6600.000000	87.966	-14.0288
6700.000000	87.927	-12.9877
6800.000000	87.906	-12.1523
6900.000000	87.892	-11.5668
7000.000000	87.871	-11.2474
7100.000000	87.830	-11.1737
7200.000000	87.757	-11.2899
7300.000000	87.644	-11.5219
7400.000000	87.488	-11.7912
7500.000000	87.285	-12.0117
7620.000000	86.984	-12.0780
7750.000000	86.599	-11.7394
7880.000000	86.178	-10.8479
8000.000000	85.787	-9.5026
8120.000000	85.420	-7.6980
8250.000000	85.079	-5.3353
8380.000000	84.822	-2.7205
8500.000000	84.676	-0.2830
8620.000000	84.624	1.9474
8750.000000	84.664	3.8300
8850.000000	84.746	4.6867
9000.000000	84.893	4.6667
9120.000000	84.961	3.3588
9250.000000	84.900	0.7292
9380.000000	84.623	-2.7147
9500.000000	84.137	-5.9624
9620.000000	83.427	-8.5964
9750.000000	82.436	-10.1483
9880.000000	81.276	-10.0126
10000.000000	80.121	-8.3657
10150.000000	78.647	-4.4830
10300.000000	77.221	1.0380
10440.000000	75.982	7.3116
10600.000000	74.707	15.4541
10750.000000	73.658	23.7721
10900.000000	72.751	32.5645
11060.000000	71.935	42.3181
11200.000000	71.345	51.0857
11380.000000	70.756	62.5963
11500.000000	70.475	70.3758
11720.000000	70.221	84.6414
11800.000000	70.219	89.7351
12060.000000	70.533	105.5556
12200.000000	70.908	113.4510
12410.000000	71.721	123.9283
12500.000000	72.136	127.7477
12650.000000	72.877	133.0975
12800.000000	73.644	137.1224
13150.000000	75.310	141.0929
13200.000000	75.511	141.0543
13400.000000	76.179	139.6455
13600.000000	76.617	136.7312
13800.000000	76.854	132.8663
14000.000000	76.940	128.1651
14300.000000	76.801	118.7369
14500.000000	76.418	110.5284
14750.000000	75.409	99.3739
15000.000000	73.701	90.1429
15250.000000	71.371	85.3049
15500.000000	68.630	85.2342
15750.000000	65.698	89.1263
16000.000000	62.741	96.0741
16250.000000	59.877	105.2595
16500.000000	57.177	116.0302
16750.000000	54.670	127.9242
17000.000000	52.356	140.5875
17250.000000	50.220	153.7079
17500.000000	48.225	167.0941
17750.000000	46.317	-179.2197
18000.000000	44.439	-164.9769
18250.000000	42.559	-149.8598
18500.000000	40.676	-133.5896
18750.000000	38.784	-115.6406
19000.000000	36.883	-95.0039
19250.000000	35.125	-71.0506
19500.000000	33.976	-45.6195
19750.000000	33.756	-23.8087
